entry_time,exit_time,type,entry_level,entry_price,exit_price,pnl,reason
2026-01-30 13:40:00+05:30,2026-01-30 13:55:00+05:30,BUY,322,322,323.0,0.5485,TARGET
2026-01-30 14:00:00+05:30,2026-01-30 14:00:00+05:30,BUY,319,319,320.0,0.5527,TARGET
2026-01-30 14:00:00+05:30,2026-01-30 14:00:00+05:30,BUY,320,320,321.0,0.5513,TARGET
2026-01-30 14:00:00+05:30,2026-01-30 14:00:00+05:30,BUY,321,321,322.0,0.5499,TARGET
2026-01-30 14:00:00+05:30,2026-01-30 14:00:00+05:30,BUY,322,322,323.0,0.5485,TARGET
2026-01-30 13:55:00+05:30,2026-01-30 15:25:00+05:30,BUY,323,323,322.1499938964844,-1.301611099243164,EOD
2026-01-30 14:30:00+05:30,2026-01-30 15:25:00+05:30,BUY,322,322,322.1499938964844,-0.30091109924316406,EOD
2026-02-03 09:15:00+05:30,2026-02-03 09:20:00+05:30,SHORT,317,317,316.0,0.5569,TARGET
2026-02-03 09:15:00+05:30,2026-02-03 09:20:00+05:30,SHORT,318,318,317.0,0.5555,TARGET
2026-02-03 09:15:00+05:30,2026-02-03 09:20:00+05:30,SHORT,319,319,318.0,0.5541,TARGET
2026-02-03 09:20:00+05:30,2026-02-03 09:25:00+05:30,SHORT,315,315,314.0,0.5597000000000001,TARGET
2026-02-03 09:20:00+05:30,2026-02-03 09:25:00+05:30,SHORT,316,316,315.0,0.5583,TARGET
2026-02-03 09:25:00+05:30,2026-02-03 09:30:00+05:30,SHORT,314,314,313.0,0.5610999999999999,TARGET
2026-02-03 09:25:00+05:30,2026-02-03 09:35:00+05:30,SHORT,313,313,312.0,0.5625,TARGET
2026-02-03 09:25:00+05:30,2026-02-03 09:45:00+05:30,SHORT,315,315,314.0,0.5597000000000001,TARGET
2026-02-03 09:45:00+05:30,2026-02-03 09:55:00+05:30,SHORT,314,314,313.0,0.5610999999999999,TARGET
2026-02-03 10:25:00+05:30,2026-02-03 10:50:00+05:30,SHORT,315,315,314.0,0.5597000000000001,TARGET
2026-02-03 09:20:00+05:30,2026-02-03 11:30:00+05:30,SHORT,317,317,316.0,0.5569,TARGET
2026-02-03 09:15:00+05:30,2026-02-03 13:20:00+05:30,SHORT,320,320,316.79998779296875,2.7542522155761717,EMA_SWITCH
2026-02-03 09:15:00+05:30,2026-02-03 13:20:00+05:30,SHORT,321,321,316.79998779296875,3.753552215576172,EMA_SWITCH
2026-02-03 09:15:00+05:30,2026-02-03 13:20:00+05:30,SHORT,322,322,316.79998779296875,4.752852215576172,EMA_SWITCH
2026-02-03 09:15:00+05:30,2026-02-03 13:20:00+05:30,SHORT,323,323,316.79998779296875,5.752152215576172,EMA_SWITCH
2026-02-03 09:20:00+05:30,2026-02-03 13:20:00+05:30,SHORT,318,318,316.79998779296875,0.7556522155761719,EMA_SWITCH
2026-02-03 09:35:00+05:30,2026-02-03 13:20:00+05:30,SHORT,312,312,316.79998779296875,-5.2401477844238284,EMA_SWITCH
2026-02-03 09:35:00+05:30,2026-02-03 13:20:00+05:30,SHORT,313,313,316.79998779296875,-4.240847784423828,EMA_SWITCH
2026-02-03 10:20:00+05:30,2026-02-03 13:20:00+05:30,SHORT,314,314,316.79998779296875,-3.2415477844238283,EMA_SWITCH
2026-02-03 11:00:00+05:30,2026-02-03 13:20:00+05:30,SHORT,315,315,316.79998779296875,-2.242247784423828,EMA_SWITCH
2026-02-03 11:30:00+05:30,2026-02-03 13:20:00+05:30,SHORT,316,316,316.79998779296875,-1.2429477844238281,EMA_SWITCH
2026-02-03 13:30:00+05:30,2026-02-03 13:45:00+05:30,BUY,317,317,318.0,0.5555,TARGET
2026-02-03 13:55:00+05:30,2026-02-03 14:45:00+05:30,BUY,317,317,318.0,0.5555,TARGET
2026-02-03 13:45:00+05:30,2026-02-03 15:00:00+05:30,BUY,318,318,316.79998779296875,-1.644372198486328,EMA_SWITCH
2026-02-03 15:00:00+05:30,2026-02-03 15:15:00+05:30,SHORT,317,317,316.95001220703125,-0.39377721557617185,EMA_SWITCH
2026-02-03 15:15:00+05:30,2026-02-03 15:15:00+05:30,BUY,316,316,317.0,0.5569,TARGET
2026-02-03 15:15:00+05:30,2026-02-03 15:25:00+05:30,BUY,317,317,317.0,-0.4438,EOD
